edge_id,length_cm,oneway
0,64798,True
1,1883,True
2,38595,True
3,1146,True
4,7985,True
5,10044,True
6,1725,True
7,19541,True
8,19498,True
9,11192,True
10,2456,True
11,905,True
12,11192,True
13,20684,True
14,12646,True
15,6216,True
16,1379,True
17,167870,True
18,58999,True
19,51846,True
20,3082,True
21,17406,True
22,24008,True
23,9843,True
24,2964,True
25,2256,True
26,1161,True
27,1565,True
28,34584,True
29,12864,True
30,17596,True
31,19304,True
32,2434,True
33,1420,True
34,15847,True
35,1265,True
36,13525,True
37,10207,True
38,17839,True
39,1290,True
40,5345,True
41,1639,True
42,19351,True
43,14589,True
44,10602,True
45,13541,True
46,1797,True
47,707,True
48,7575,True
49,45954,True
50,1467,True
51,93616,True
52,61621,True
53,1457,True
55,956,True
56,50515,True
57,1959,True
58,71334,True
59,65290,True
60,3110,True
61,40353,True
62,27338,True
63,26588,True
64,25408,True
65,4575,True
66,52120,True
67,1040,True
68,115365,True
70,861,True
71,114711,True
72,2610,True
73,65421,True
74,1226,True
75,46781,True
76,1002,True
77,1100,True
78,92751,True
79,200279,True
80,71654,True
81,21642,True
82,47963,True
83,200279,True
84,217088,True
85,145246,True
86,47963,True
89,4073,True
90,7767,True
91,14067,True
92,14188,True
93,14067,True
94,7668,True
95,13745,True
96,14402,True
97,14188,True
98,13747,True
99,7566,True
100,14402,True
101,7463,True
102,13803,True
103,16947,True
104,13946,True
105,28005,True
106,7033,True
107,16947,True
108,9604,True
109,14215,True
110,8126,True
111,13370,True
112,7454,True
113,6724,True
114,13043,True
115,14397,True
116,3407,True
117,13369,True
118,7454,True
119,6796,True
120,10976,True
121,3407,True
122,16405,True
123,1083,True
124,9430,True
125,1109,True
126,5857,True
127,19816,True
128,1275,True
129,32437,True
130,1470,True
131,932,True
132,2364,True
133,52074,True
134,184981,True
135,1844,True
136,175694,True
138,4283,True
139,7922,True
140,18516,True
141,51636,True
142,1325,True
143,10515,True
144,20019,True
145,9526,True
146,21758,True
147,14564,True
148,846,True
149,1717,True
150,54166,True
151,1103,True
152,23285,True
153,1462,True
154,2417,True
155,17703,True
156,15470,True
157,14636,True
158,154620,True
159,12938,True
160,23889,True
161,3699,True
162,22520,True
163,6425,True
164,11434,True
165,7456,True
166,10806,True
167,1123,True
168,34354,True
169,16065,True
170,13655,True
171,32934,True
172,1423,True
173,1105,True
174,87358,True
175,1796,True
176,25387,True
177,25982,True
178,1681,True
179,5818,True
180,51289,True
181,45671,True
182,84728,True
183,32007,True
184,22647,True
185,2165,True
186,13673,True
187,3341,True
188,17653,True
189,3446,True
190,13871,True
191,15617,True
192,3081,True
193,8611,True
194,5507,True
195,536,True
196,16203,True
197,585,True
198,15595,True
199,8365,True
200,26851,True
201,11167,True
202,96038,True
203,3830,True
204,4064,True
205,4401,True
206,3221,True
207,9503,True
208,28266,True
209,71581,True
210,5577,True
211,23027,True
212,71073,True
213,95484,True
214,38001,True
215,50468,True
216,66872,True
217,95238,True
218,104997,True
219,22171,True
220,12070,True
221,1810,True
222,1348,True
223,10436,True
224,14300,True
225,2149,True
226,19519,True
227,3206,True
228,2570,True
229,9872,True
230,934,True
231,927,True
232,2171,True
233,19129,True
234,18421,True
235,2116,True
236,8362,True
237,866,True
238,21248,True
239,7199,True
240,983,True
241,9319,True
242,3261,True
243,19801,True
244,48518,True
245,18867,True
246,1725,True
247,48518,True
248,18176,True
249,43917,True
250,18378,True
251,2456,True
252,11224,True
253,10925,True
254,2116,True
255,17278,True
256,11056,True
257,1139,True
258,2840,True
259,12789,True
260,10992,True
261,983,True
262,13744,True
263,14446,True
264,1295,True
265,6009,True
266,8943,True
267,11375,True
268,6640,True
269,15084,True
270,9490,True
271,26359,True
272,29498,True
273,1149,True
274,13224,True
275,1686,True
276,34013,True
277,16601,True
278,1565,True
279,5011,True
280,6729,True
281,17013,True
282,19301,True
283,5896,True
284,1593,True
285,1725,True
286,66098,True
287,826,True
288,9498,True
289,1885,True
290,12627,True
291,1533,True
292,6681,True
293,10476,True
294,22025,True
295,1305,True
296,8789,True
297,3684,True
298,20009,True
299,1639,True
300,8395,True
301,15146,True
302,4629,True
303,17264,True
304,5218,True
305,13288,True
306,17473,True
307,16806,True
308,14832,True
309,997,True
310,13151,True
311,30483,True
312,1447,True
313,19017,True
314,28323,True
315,6819,True
316,10805,True
317,11052,True
318,23963,True
319,17648,True
320,10818,True
321,19058,True
322,6157,True
323,20975,True
324,4781,True
325,20247,True
326,1961,True
327,11422,True
328,2437,True
329,13221,True
330,24339,True
331,26240,True
332,13945,True
333,43505,True
334,20974,True
335,2603,True
